Date,Close/Last,Volume,Open,High,Low
12/30/2024,$90.57,9790196,$90.73,$91.07,$90.13
12/27/2024,$91.66,11384360,$92.13,$92.35,$91.03
12/26/2024,$92.79,10997610,$92.54,$92.875,$92.17
12/24/2024,$92.68,8992427,$90.37,$92.68,$90.35
12/23/2024,$90.35,26205380,$91.50,$91.50,$88.91
12/20/2024,$92.24,49350590,$93.01,$93.7486,$91.63
12/19/2024,$93.40,16606500,$94.48,$94.565,$93.36
12/18/2024,$93.55,24665600,$95.34,$95.895,$93.1304
12/17/2024,$95.42,23560820,$95.14,$95.49,$94.32
12/16/2024,$94.87,16741990,$94.42,$95.705,$94.1048
12/13/2024,$94.25,11495850,$93.80,$94.68,$93.04
12/12/2024,$94.09,14298630,$95.68,$95.715,$94.09
12/11/2024,$94.96,19682090,$94.54,$95.69,$94.50
12/10/2024,$94.55,13164490,$94.05,$95.24,$93.77
12/09/2024,$93.83,20931080,$95.66,$95.94,$93.602
12/06/2024,$95.70,18803500,$95.54,$96.18,$95.33
12/05/2024,$95.30,21932330,$94.89,$95.60,$94.34
12/04/2024,$94.45,17312580,$93.45,$94.515,$93.05
12/03/2024,$93.51,17775230,$92.78,$93.59,$92.26
12/02/2024,$92.64,17172950,$92.82,$92.9887,$91.95
11/29/2024,$92.50,11041180,$92.26,$92.64,$91.82
11/27/2024,$91.88,14358860,$92.00,$92.25,$91.31
11/26/2024,$91.31,16657020,$89.89,$91.88,$89.84
11/25/2024,$89.50,25078630,$90.50,$90.95,$89.06
11/22/2024,$90.44,23990650,$89.41,$90.91,$88.93
11/21/2024,$88.39,18729220,$87.45,$88.64,$86.93
11/20/2024,$87.18,18183190,$86.60,$87.20,$85.91
11/19/2024,$86.60,36340860,$86.23,$88.29,$85.91
11/18/2024,$84.08,25278120,$84.82,$84.85,$83.66
11/15/2024,$84.25,17370600,$84.53,$84.78,$83.942
11/14/2024,$84.47,15740730,$85.03,$85.76,$84.34
11/13/2024,$85.50,12802620,$84.99,$85.79,$84.77
11/12/2024,$84.99,12860190,$84.50,$85.53,$84.50
11/11/2024,$84.21,10433170,$84.95,$85.41,$84.12
11/08/2024,$84.83,14396540,$84.28,$85.42,$84.23
11/07/2024,$83.85,12665780,$83.72,$84.39,$83.42
11/06/2024,$83.44,19974040,$85.14,$85.54,$82.06
11/05/2024,$83.68,10612490,$82.68,$83.77,$82.51
11/04/2024,$82.45,11731040,$82.20,$82.905,$82.00
11/01/2024,$82.19,12181830,$82.53,$82.53,$81.54
10/31/2024,$81.95,15538970,$81.29,$82.44,$81.22
10/30/2024,$81.39,9268824,$81.60,$81.83,$81.30
10/29/2024,$81.70,9682403,$82.67,$82.86,$81.665
10/28/2024,$82.75,7990186,$82.75,$83.08,$82.47
10/25/2024,$82.51,8959412,$83.20,$83.30,$82.435
10/24/2024,$83.04,11645860,$82.96,$83.315,$82.58
10/23/2024,$83.27,13058240,$81.89,$83.34,$81.80
10/22/2024,$82.02,12240150,$81.11,$82.225,$80.825
10/21/2024,$80.81,9750376,$81.23,$81.5496,$80.72
10/18/2024,$81.31,12324150,$80.87,$81.69,$80.66
10/17/2024,$80.89,9424705,$81.27,$81.50,$80.645
10/16/2024,$81.22,11123250,$81.53,$81.66,$80.62
10/15/2024,$81.65,13276220,$80.67,$81.8201,$80.51
10/14/2024,$80.29,9914477,$80.05,$80.51,$79.76
10/11/2024,$80.10,9570734,$79.70,$80.13,$79.37
10/10/2024,$79.61,10812700,$80.31,$80.32,$79.46
10/09/2024,$80.40,12413030,$79.82,$80.50,$79.75
10/08/2024,$79.71,15269960,$79.62,$79.82,$79.07
10/07/2024,$79.10,16791650,$80.69,$80.94,$78.98
10/04/2024,$80.94,11591390,$80.05,$81.115,$79.85
10/03/2024,$80.43,11640420,$80.30,$80.575,$79.85
10/02/2024,$80.43,16618270,$80.99,$80.99,$80.12
10/01/2024,$81.27,16054250,$80.68,$81.53,$80.435
09/30/2024,$80.75,19008190,$79.89,$80.94,$79.86
09/27/2024,$79.78,11899050,$79.90,$80.2875,$79.60
09/26/2024,$79.92,17061130,$81.04,$81.20,$79.26
09/25/2024,$81.40,14163790,$80.89,$81.60,$80.68
09/24/2024,$80.67,14651130,$80.48,$80.91,$80.24
09/23/2024,$80.33,12147260,$79.07,$80.4374,$79.07
09/20/2024,$79.06,39534250,$78.23,$79.61,$78.11
09/19/2024,$78.04,21525690,$79.05,$79.09,$77.49
09/18/2024,$79.03,15684880,$78.64,$79.41,$78.28
09/17/2024,$78.60,21065940,$79.76,$80.26,$78.26
09/16/2024,$80.56,15346370,$80.84,$81.02,$80.14
09/13/2024,$80.60,12994100,$79.82,$80.685,$79.69
09/12/2024,$79.66,14884850,$78.99,$79.905,$78.6221
09/11/2024,$78.84,19518760,$78.38,$78.92,$77.565
09/10/2024,$78.81,17686280,$77.35,$78.90,$77.28
09/09/2024,$77.34,22260230,$76.85,$77.47,$76.49
09/06/2024,$76.64,14548590,$76.90,$77.32,$76.30
09/05/2024,$76.96,13082890,$77.25,$77.45,$76.39
09/04/2024,$77.24,18442780,$77.33,$77.48,$76.73
09/03/2024,$77.17,22666140,$77.33,$77.81,$76.795
08/30/2024,$77.23,23229980,$76.44,$77.475,$76.22
08/29/2024,$76.42,11856790,$75.99,$76.47,$75.67
08/28/2024,$76.08,9814264,$76.28,$76.43,$75.805
08/27/2024,$76.13,11557760,$76.45,$76.45,$75.77
08/26/2024,$76.03,9508215,$75.90,$76.205,$75.57
08/23/2024,$75.70,12299090,$75.60,$75.81,$75.0077
08/22/2024,$75.58,16511140,$75.37,$76.22,$75.15
08/21/2024,$75.24,14831990,$75.30,$75.58,$74.59
08/20/2024,$74.54,14433990,$73.75,$74.75,$73.72
08/19/2024,$73.72,13709270,$73.39,$73.98,$73.34
08/16/2024,$73.45,19872140,$72.70,$73.605,$72.52
08/15/2024,$73.18,49567500,$74.12,$74.44,$72.78
08/14/2024,$68.66,22928550,$67.92,$68.79,$67.85
08/13/2024,$68.13,26557900,$68.43,$68.61,$67.14
08/12/2024,$68.70,17385280,$68.34,$69.225,$68.07
08/09/2024,$67.95,13805580,$67.85,$68.22,$67.33
08/08/2024,$67.66,12489820,$66.84,$67.9199,$66.67
08/07/2024,$66.91,18499200,$67.87,$68.01,$66.81
08/06/2024,$67.74,14815070,$67.84,$68.63,$67.68
08/05/2024,$67.59,20770460,$68.10,$68.58,$66.91
08/02/2024,$68.46,23578660,$69.60,$70.235,$67.74
08/01/2024,$69.79,17275530,$68.91,$69.80,$68.52
07/31/2024,$68.64,22908760,$69.18,$69.25,$68.29
07/30/2024,$69.19,12522470,$69.55,$69.845,$68.98
07/29/2024,$69.62,10315310,$69.85,$69.90,$69.13
07/26/2024,$69.78,16789310,$70.23,$70.235,$68.83
07/25/2024,$70.02,18821200,$70.60,$70.77,$69.95
07/24/2024,$70.60,22490780,$70.52,$70.84,$70.34
07/23/2024,$70.65,9263561,$70.47,$70.70,$70.11
07/22/2024,$70.38,12666130,$70.86,$71.26,$70.2301
07/19/2024,$70.75,11665530,$71.20,$71.33,$70.65
07/18/2024,$70.82,10682740,$70.68,$71.19,$70.43
07/17/2024,$71.03,13533790,$70.18,$71.10,$69.95
07/16/2024,$69.99,9836824,$69.82,$70.24,$69.58
07/15/2024,$69.61,10171140,$69.30,$69.975,$69.30
07/12/2024,$69.24,12145320,$69.90,$70.0299,$69.17
07/11/2024,$69.80,15624800,$70.18,$70.45,$69.26
07/10/2024,$70.41,10803410,$70.10,$70.44,$69.72
07/09/2024,$69.90,9781831,$69.90,$70.25,$69.67
07/08/2024,$69.68,12077680,$69.90,$70.14,$69.35
07/05/2024,$70.04,21586100,$68.16,$70.15,$68.10
07/03/2024,$68.24,6287545,$67.81,$68.25,$67.62
07/02/2024,$68.07,9436487,$67.44,$68.085,$67.26
07/01/2024,$67.48,8666021,$67.89,$68.24,$67.25
06/28/2024,$67.71,18816720,$67.87,$68.0981,$67.32
06/27/2024,$67.88,12899190,$68.29,$68.58,$67.665
06/26/2024,$68.29,14177520,$67.40,$68.5999,$67.21
06/25/2024,$67.42,20904040,$67.17,$67.59,$66.55
06/24/2024,$68.90,12470450,$68.05,$69.04,$67.90
